kuerzel	PIE
korrekturkurs0	5 E5
häufigkeit0	3
dauer0	1
schreiber0	26
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF E
häufigkeit1	2
dauer1	2
schreiber1	24
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	7 E6
häufigkeit2	3
dauer2	1
schreiber2	21
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	6 L5
häufigkeit3	3
dauer3	1
schreiber3	20
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	Q2 L
häufigkeit4	2
dauer4	2
schreiber4	10
bemerkung4	
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
