kuerzel	MOE
korrekturkurs0	7d D
häufigkeit0	3
dauer0	1
schreiber0	28
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	8a E
häufigkeit1	3
dauer1	1
schreiber1	20
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 E
häufigkeit2	2
dauer2	2
schreiber2	22
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q1 E
häufigkeit3	2
dauer3	2
schreiber3	21
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7d
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	Ich dachte, ich hätte das alles für das erste Halbjahr schon ausgefüllt!??
