kuerzel	STP
korrekturkurs0	5a D
häufigkeit0	3
dauer0	1
schreiber0	23
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	6 E5
häufigkeit1	3
dauer1	1
schreiber1	19
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	7 E5
häufigkeit2	3
dauer2	1
schreiber2	23
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	8 G/C
häufigkeit3	2
dauer3	1
schreiber3	23
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	1
klassenleitung_aufteilung	50% : 50%
kommentar	Ich bin die letzten Tage des Halbjahrs (ab dem 24.01.2019) in Elternzeit, bis dahin sollten aber alle Arbeiten korrigiert und alle Noten eingetragen sein.
