kuerzel	BM
korrekturkurs0	7 E5
häufigkeit0	3
dauer0	1
schreiber0	23
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	8a E
häufigkeit1	3
dauer1	1
schreiber1	20
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	6 E6
häufigkeit2	3
dauer2	1
schreiber2	20
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	EF N
häufigkeit3	2
dauer3	2
schreiber3	23
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	Q1 N
häufigkeit4	2
dauer4	2
schreiber4	20
bemerkung4	
andereeingabe4	
nicht4	
abi_erst5	Q2 NL
häufigkeit5	normalGK
dauerX	Abi
schreiber5	5
bemerkung5	
andereeingabe5	
nicht5	
abi_zweit6	Q2 NL von HN
häufigkeit6	normalGK
dauerX	Abi
schreiber6	8
bemerkung6	
andereeingabe6	
nicht6	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
