kuerzel	IK
korrekturkurs0	Q1 MUN
häufigkeit1	2
dauer0	2
schreiber0	13
bemerkung0	
andereeingabe0	War schon im 1.Hlbj. eingetragen (13x Projektarbeit a ca. 12 A4-Seiten) 
nicht0	
korrekturkurs1	9 G/C
häufigkeit1	1
dauer1	60
schreiber1	16
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ek
häufigkeit2	1
dauer2	3
schreiber2	23
bemerkung2	
andereeingabe2	
nicht2	
abi_erst3	Q2 En
häufigkeit3	normalGK
schreiber3	3,5
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	En Q2 7x Abivorklausuren A3 => hab ich als 3. Kurs nachgetragen
