kuerzel	MF
korrekturkurs0	5a D
häufigkeit0	3
dauer0	1
schreiber0	22
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	9a D
häufigkeit1	2
dauer1	2
schreiber1	18
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 D
häufigkeit2	2
dauer2	2
schreiber2	22
bemerkung2	
andereeingabe2	
nicht2	
abi_zweit3	Q2 D von AC
häufigkeit3	normalGK
dauerX	Abi
schreiber3	4
bemerkung3	
andereeingabe3	
nicht3	
abi_zweit4	Q2 D von LM
häufigkeit4	normalGK
dauerX	Abi
schreiber4	4
bemerkung4	
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	9a
klassenleitung_nr	2
klassenleitung_aufteilung	60
kommentar	
