kuerzel	VS
korrekturkurs0	8b E
häufigkeit0	3
dauer0	1,3333
schreiber0	30
bemerkung0	inkl. Lernstandserhebung von 90 Min. Dauer.
andereeingabe0	
nicht0	
korrekturkurs1	Q1 E
häufigkeit1	2
dauer1	3
schreiber1	19
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	6 F6
häufigkeit2	3
dauer2	1
schreiber2	22
bemerkung2	
andereeingabe2	
nicht2	
abi_erst3	Q2 E
häufigkeit3	normalLK
dauerX	Abi
schreiber3	22
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
