kuerzel	GU
korrekturkurs0	9 DG
häufigkeit0	2
dauer0	60
schreiber0	13
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF Ku
häufigkeit1	2
dauer1	a
schreiber1	4
bemerkung1	1x 2 Std., 1x 3 Std.
andereeingabe1	
nicht1	
abi_erst2	Q2 KU
häufigkeit2	normalLK
schreiber2	12
bemerkung2	Kunst ggf. +60min (Praxis)
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	zusätzlich 8 DG (zusammen mit Hartwig), 2x pro Halbjahr 45min, 9 Schüler*innen (die Hälfte des Kurses, die andere Hälfte macht HA);
Gilt Stufenleitung auch als Klassenleitung?
