kuerzel	HTM
korrekturkurs0	7 E5
häufigkeit0	3
dauer0	1
schreiber0	17
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	8d E
häufigkeit1	3
dauer1	60
schreiber1	28
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Bi
häufigkeit2	2
dauer2	3
schreiber2	21
bemerkung2	
andereeingabe2	
nicht2	
abi_erst3	Q2 BI
häufigkeit3	normalGK
schreiber3	1
bemerkung3	
andereeingabe3	
nicht3	
abi_zweit4	Q2 BI von LEA
häufigkeit4	normalLK
schreiber4	15
bemerkung4	
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	Ich betreue in diesem Halbjahr eine Praxissemesterstudierende!
