kuerzel	MLR
korrekturkurs0	5d M
häufigkeit0	3
dauer0	1
schreiber0	30
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	8a M
häufigkeit1	2
dauer1	60
schreiber1	20
bemerkung1	zusätzlich eine Lernstandserhebung (90 Minuten)
andereeingabe1	
nicht1	
korrekturkurs2	8c M
häufigkeit2	2
dauer2	60
schreiber2	27
bemerkung2	zusätzlich eine Lernstandserhebung (90 Minuten)
andereeingabe2	
nicht2	
korrekturkurs3	EF M
häufigkeit3	2
dauer3	2
schreiber3	15
bemerkung3	davon eine zentrale Klausur (100 Minuten)
andereeingabe3	
nicht3	
abi_zweit4	Q2 M von extern
häufigkeit4	normalGK
schreiber4	18
bemerkung4	
andereeingabe4	
nicht4	
abi_zweit5	Q2 PH von SIR
häufigkeit5	normalGK
schreiber5	2
bemerkung5	
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	8a
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	
