kuerzel	WK
korrekturkurs0	8b D
häufigkeit0	3
dauer0	2
schreiber0	30
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF Sw
häufigkeit1	2
dauer1	2
schreiber1	14
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Sw
häufigkeit2	2
dauer2	3
schreiber2	19
bemerkung2	ohne Madelaine Grap
andereeingabe2	
nicht2	
abi_zweit3	Q2 SW von NES
häufigkeit3	normalLK
schreiber3	21
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	8b
klassenleitung_nr	1
klassenleitung_aufteilung	60:60
kommentar	
