kuerzel	BK
korrekturkurs0	6c M
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	Q2 Ku-LK
häufigkeit1	2
dauer1	4
dauer_anders1	
schreiber1	19
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Ich habe zwei Abivorschläge mit Erwartungshorizont und Übersicht der Unterrichtsinhalte der Q1 + Q2 eingereicht.//Die Dauer der Klausuren ist unterschiedlich: Die praktische Klausur dauert eine Stunde länger.
