kuerzel	MLR
korrekturkurs0	6d M
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	9a M
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	9c M
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	27
bemerkung2	
nachschr2	2
andereeingabe2	
nicht2	
korrekturkurs3	EF Ph-GK
häufigkeit3	1
dauer3	2
dauer_anders3	
schreiber3	8
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
korrekturkurs4	Q1 M-GK
häufigkeit4	2
dauer4	90
dauer_anders4	
schreiber4	21
bemerkung4	
nachschr4	2
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	9a
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
