kuerzel	MOE
korrekturkurs0	5d E5
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	8a E
häufigkeit1	3
dauer1	60
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	8 DG
häufigkeit2	2
dauer2	1
dauer_anders2	
schreiber2	16
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 E-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	19
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 E-GK
häufigkeit4	2
dauer4	3
dauer_anders4	
schreiber4	19
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	8d
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	Ich habe für Englisch einen Vorschlag für den Grundkurs mit Erwartungshorizont abgegeben.
