kuerzel	HOY
korrekturkurs0	9b F6
häufigkeit0	2
dauer0	60
dauer_anders0	
schreiber0	19
bemerkung0	die zweite Arbeit haben nur 17 Schüler schreiben können
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	EF Ku-GK
häufigkeit1	1
dauer1	3
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ku-GK
häufigkeit2	_
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Ku-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	1
bemerkung3	Die zweite Klausur dauerte wegen Praxis 4 UStd
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Mein F6 Kurs in der JgSt 9 war nicht 9 sondern 9cd (falls das irgendeine Relevanz haben sollte...)
