kuerzel	JAE
korrekturkurs0	8 If
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Pl-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	3
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q2 If-GK
häufigkeit2	2
dauer2	3
dauer_anders2	
schreiber2	1
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Zusätzliche Korrektur für PPR: 9er IF, 1 KA, 20 SuS, 1stündig
