kuerzel	PS
korrekturkurs0	7a F6
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8c F6
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	23
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ge-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	12
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Pl-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	8a/b (nicht 8c)
