kuerzel	TE
korrekturkurs0	6a L5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	15
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	8a L5
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	ja
andereeingabe1	
nicht1	
korrekturkurs2	EF L6-GK
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	11
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
korrekturkurs3	EF I-GK
häufigkeit3	2
dauer3	2
dauer_anders3	
schreiber3	14
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
korrekturkurs4	EF G-GK
häufigkeit4	2
dauer4	2
dauer_anders4	
schreiber4	11
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
korrekturkurs5	Q2 I-GK
häufigkeit5	2
dauer5	3
dauer_anders5	
schreiber5	12
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Ich musste einen Abiturvorschlag mit Erwartungshorizont in Greichisch einreichen.//Ich habe die mdl. Prüfung in I Q2 als 2. Klausur angegeben.
