kuerzel	BAR
korrekturkurs0	Q1 Bi-LK
häufigkeit0	1
dauer0	180
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	0
facharbeiten0	6
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Rk-GK
häufigkeit1	_
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
facharbeiten1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Rk-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	1
bemerkung2	
nachschr2	0
facharbeiten2	0
andereeingabe2	
nicht2	
abi_erst3	Q2 Bi-GK3
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	4
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 Bi-LK von HTM
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	15
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_zweit5	Q2 Bi-GK2 von WAA
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	1
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	Q1 Aufteilung hälftig
klassenleitung_aufteilung	Q1 Aufteilung hälftig BAR/MKI
kommentar	
