kuerzel	KM
korrekturkurs0	7a L6
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	14
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8a L6
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	19
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9a L6
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	26
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ge-GK
häufigkeit3	1
dauer3	135
dauer_anders3	
schreiber3	8
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
abi_zweit4	Q2 Ge-GK1 von KIH
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	2
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_zweit5	Q2 Ge-GK2 von GUN
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	4
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
