kuerzel	KN
korrekturkurs0	5b M
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
abi_erst1	Q2 M-GK2
häufigkeit1	normalGK
dauer1	Abi
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
abi_erst2	Q2 M-GK4
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	5
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_zweit3	Q2 N-GK1 von HN
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	7
bemerkung3	+Bültemeyer vom Schlaun
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 N-GK2 von HN
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	2
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_erst5	Q2 N-GK1
häufigkeit5	normalGK
dauer5	1
dauer_anders5	
schreiber5	7
bemerkung5	1 Schüler mehr vom Schlaun // nur Vorabi (Kurs von HN, der in Elternzeit war)
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	5b
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	zusätzliche Korrektur: Q2 GK1 HN Vorabi 6 Schüler Dauer:AbiGK(Vorabi) 1 Termin (Vorabi)
