kuerzel	RA
korrekturkurs0	6d D
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	ja
andereeingabe0	
nicht0	
korrekturkurs1	EF Ch-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	13
bemerkung1	
nachschr1	ja
andereeingabe1	
nicht1	
korrekturkurs2	Q1 D-LK
häufigkeit2	1
dauer2	180
dauer_anders2	
schreiber2	23
bemerkung2	
nachschr2	ja
andereeingabe2	
nicht2	
abi_zweit3	Q2 D-LK von BER
häufigkeit3	normalLK
dauer3	Abi
dauer_anders3	
schreiber3	23
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	6d
klassenleitung_nr	1
klassenleitung_aufteilung	60
kommentar	
