kuerzel	VLZ
korrekturkurs0	9c D
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	27
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9d D
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	30
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 D-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	23
bemerkung2	
nachschr2	0
facharbeiten2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q1 D-GK
häufigkeit3	1
dauer3	135
dauer_anders3	
schreiber3	19
bemerkung3	
nachschr3	1
facharbeiten3	1
andereeingabe3	
nicht3	
abi_erst4	Q2 D-GK1
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	4
bemerkung4	6 A4-Prüfungen
nachschr4	nein
andereeingabe4	
nicht4	
abi_erst5	Q2 Ek-GK
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	5
bemerkung5	9 A4-Prüfungen
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	9d
klassenleitung_nr	2
klassenleitung_aufteilung	Beide erhalten 60 Punkte
kommentar	
