kuerzel	VOG
korrekturkurs0	EF Ek-GK
häufigkeit0	0
dauer0	2
dauer_anders0	
schreiber0	14
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ek-LK
häufigkeit1	1
dauer1	135
dauer_anders1	
schreiber1	18
bemerkung1	
nachschr1	nein
facharbeiten1	6
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ek-GK
häufigkeit2	1
dauer2	90
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_zweit3	Q2 Ek-GK von VLZ
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	5
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	9a
klassenleitung_nr	2
klassenleitung_aufteilung	80/40
kommentar	
