kuerzel	WP
korrekturkurs0	9 B/C
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ch-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	2
bemerkung1	
nachschr1	0
facharbeiten1	1
andereeingabe1	
nicht1	
abi_erst2	Q2 Ch-LK
häufigkeit2	normalLK
dauer2	Abi
dauer_anders2	
schreiber2	9
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_erst3	Q2 Bi-GK1
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	1
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
