kuerzel	DR
korrekturkurs0	5c M
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	8b M
häufigkeit1	1
dauer1	60
dauer_anders1	
schreiber1	30
bemerkung1	LSE
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	9d M
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	29
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_erst3	Q2 M-GK1
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	4
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	05c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
