kuerzel	IK
korrekturkurs0	9 G/C
häufigkeit0	0
dauer0	0
dauer_anders0	
schreiber0	
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF E-GK
häufigkeit1	0
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
abi_erst2	Q2 Ek-LK
häufigkeit2	normalLK
dauer2	Abi
dauer_anders2	
schreiber2	21
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Folgender Kurs fehlt: ////En 6 L5  1x 1 Schulstunde 15 SuS 
