kuerzel	LM
abi_zweit0	Q2 D-GK1 von VLZ
häufigkeit0	normalGK
dauer0	Abi
dauer_anders0	
schreiber0	4
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
abi_zweit1	Q2 D-GK2 von BÖR
häufigkeit1	normalGK
dauer1	Abi
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
abi_zweit2	Q2 D-GK3 von MF
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	8
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_zweit3	Q2 D-GK4 von PAT
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	5
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
