kuerzel	MOE
korrekturkurs0	5d E5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8a E
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	2
andereeingabe1	
nicht1	
korrekturkurs2	8 DG
häufigkeit2	_
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
abi_erst3	Q2 E-GK1
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	8d
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	Ich habe die Hälfte der Korrekturen im DG-Kurs 9 übernommen, den ich mit Katrin Hartwig unterrichte. Das auch schon schon im 1. Halbjahr, habe ich leider vergessen einzugeben.
