kuerzel	﻿AT
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6d M
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
klassenleitung_janein	ja
klassenleitung_klasse	6d
klassenleitung_nr	2
klassenleitung_aufteilung	50
kommentar	- Mutterschutz ab dem 7.10.2020//- Im 1. Halbjahr habe ich eine Matheklassenarbeit der 6d mit 30 Schülern konzipiert und korrigiert. Da ich oben schon mit 0 Wochenstunden gelistet werde, konnte ich das nicht eintragen. 
