kuerzel	GP
deputat_korrekt_janein	nein
deputat_berichtigung	10 FL
korrekturkurs0	EF E-GK
häufigkeit0	2
dauer0	2
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	
andereeingabe0	
nicht0	
korrekturkurs1	EF Pl-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	4
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Pl-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	4
bemerkung2	
nachschr2	2
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
