kuerzel	GU
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8 DG
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	12
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Ku-GK
häufigkeit1	1
dauer1	3
dauer_anders1	
schreiber1	2
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ku-GK
häufigkeit2	1
dauer2	3
dauer_anders2	
schreiber2	5
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Lit.-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	0
bemerkung3	Der Q1-Lit-Kurs ist grundsätzlich mündlich, hier werden keine Klausuren geschrieben. ✔
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Die Fachschaft Kunst musste im Verlauf dieses Halbjahrs eine LK-Klausur (Theorie) im Auftrag des Ministeriums erstellen, an der ich mitgearbeitet habe.
