kuerzel	STP
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6 E5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	7a D
häufigkeit1	3
dauer1	1
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	2
andereeingabe1	
nicht1	
korrekturkurs2	9 G/C
häufigkeit2	1
dauer2	1
dauer_anders2	
schreiber2	22
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 E-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	24
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7a
klassenleitung_nr	1
klassenleitung_aufteilung	90
kommentar	Danke für Deine Arbeit! Liebe Grüße! ✔
