kuerzel	VDB
deputat_korrekt_janein	ja
deputat_berichtigung	Laut Tabelle habe ich noch 1,6 Std. Überhang. Ich weiß nicht inwieweit das hier relevant ist (Anm. KN: hier gar nicht)
korrekturkurs0	6d M
häufigkeit0	_
dauer0	0
dauer_anders0	
schreiber0	
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 M-GK
häufigkeit1	1
dauer1	135
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	2
andereeingabe1	
nicht1	
klassenleitung_janein	ja
klassenleitung_klasse	6d
klassenleitung_nr	2
klassenleitung_aufteilung	40
kommentar	Elternzeit bis 23.11.2019
