kuerzel	BAR
deputat_korrekt_janein	nein
deputat_berichtigung	9D Rk3//
korrekturkurs0	EF Rk-GK
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	2
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Rk-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	1
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Bi-LK
häufigkeit2	2
dauer2	a
dauer_anders2	225 min
schreiber2	18
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Rk-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Rk-GK
häufigkeit4	2
dauer4	4
dauer_anders4	
schreiber4	1
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
