kuerzel	GUN
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8a L5
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF L5-GK
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	21
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	EF G-GK
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	6
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 L5-LK
häufigkeit3	2
dauer3	90
dauer_anders3	
schreiber3	6
bemerkung3	zusätzlich eine Q2-Schülerin, mit je eigener Klausur, 180 Min.
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Ge-LK
häufigkeit4	2
dauer4	5
dauer_anders4	
schreiber4	12
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
