kuerzel	LEA
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	Q1 Bi-LK
häufigkeit0	2
dauer0	135
dauer_anders0	
schreiber0	20
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Bi-GK
häufigkeit1	2
dauer1	90
dauer_anders1	
schreiber1	15
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Bi-GK
häufigkeit2	2
dauer2	4
dauer_anders2	
schreiber2	9
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
