kuerzel	WP
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8 B/C
häufigkeit0	2
dauer0	60
dauer_anders0	
schreiber0	26
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ch-GK
häufigkeit1	2
dauer1	90
dauer_anders1	
schreiber1	7
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Ch-GK
häufigkeit2	2
dauer2	4
dauer_anders2	
schreiber2	1
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	8a und 8b
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
