kuerzel	HTM
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6 E5
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	7c E5
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	26
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9 B/C
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	18
bemerkung2	
nachschr2	0
andereeingabe2	Es wurde eine Projektarbeit geschrieben. (KN: muss ja auch korrigiert werden) ✔
nicht2	
korrekturkurs3	Q1 Bi-GK
häufigkeit3	1
dauer3	180
dauer_anders3	
schreiber3	13
bemerkung3	
nachschr3	0
facharbeiten3	3
andereeingabe3	
nicht3	
abi_erst4	Q2 Bi-GK2
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	3
bemerkung4	
nachschr4	nein(neu)
andereeingabe4	
nicht4	
abi_zweit5	Q2 Bi-LK von BAR
häufigkeit5	normalLK
dauer5	Abi
dauer_anders5	
schreiber5	17
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
abi_zweit6	Q2 E-LK von KIH
häufigkeit6	normalLK
dauer6	Abi
dauer_anders6	
schreiber6	19
bemerkung6	
nachschr6	nein
andereeingabe6	
nicht6	
abi_zweit7	Q2 Bi-GK1 von LEA
häufigkeit7	normalGK
dauer7	Abi
dauer_anders7	
schreiber7	2
bemerkung7	
nachschr7	nein
andereeingabe7	
nicht7	
abi_zweit8	Q2 Bi-GK3 von SCJ
häufigkeit8	normalGK
dauer8	Abi
dauer_anders8	
schreiber8	4
bemerkung8	
nachschr8	nein
andereeingabe8	
nicht8	
klassenleitung_janein	ja
klassenleitung_klasse	7c
klassenleitung_nr	1
klassenleitung_aufteilung	60
kommentar	
