kuerzel	HY
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6 E5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9c E
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	27
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
abi_zweit2	Q2 kR-GK2 von BAR
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	1
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	2
klassenleitung_aufteilung	90
kommentar	
