kuerzel	VS
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8b E
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8b F6
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	23
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF F-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	14
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF E-GK
häufigkeit3	_
dauer3	2
dauer_anders3	
schreiber3	23
bemerkung3	
nachschr3	-1
andereeingabe3	
nicht3	
korrekturkurs4	EF E-GK
häufigkeit4	1
dauer4	2
dauer_anders4	
schreiber4	20
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
abi_zweit5	Q2 E-LK von NOW
häufigkeit5	normalLK
dauer5	Abi
dauer_anders5	
schreiber5	19
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
