kuerzel	HET
deputat_korrekt_janein	nein
deputat_berichtigung	4 Entlastungsstunden für Tätigkeit als Fachberaterin
korrekturkurs0	5a D
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	20
bemerkung0	eine KA wurde durch ein Lesetagebuch ersetzt
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 N-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	23
bemerkung1	
nachschr1	1
facharbeiten1	0
andereeingabe1	
nicht1	
abi_erst2	Q2 N-GK2
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	4
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_zweit3	Q2 N-GK1 von HN
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	4
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 N-GK3 von HN
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	5
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	- 5a: Inklusionsklasse//- für die Vorabiklausur in der Q2 musste ich zwei Nachschreibklausuren erstellen (Auch hier weiß ich nicht, ob das relevant ist. Ich bitte ggf. um Rückmeldung. 
