kuerzel	LC
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5b M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8d M
häufigkeit1	1
dauer1	60
dauer_anders1	
schreiber1	24
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 M-LK
häufigkeit2	2
dauer2	180
dauer_anders2	
schreiber2	12
bemerkung2	
nachschr2	0
facharbeiten2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Rk-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
abi_zweit4	Q2 M-LK von PE
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	22
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	5b
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
