kuerzel	MKI
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	7c F7
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9c F6
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	EF Re-GK
häufigkeit2	0
dauer2	0
dauer_anders2	
schreiber2	0
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Re-GK
häufigkeit3	0
dauer3	0
dauer_anders3	
schreiber3	0
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
abi_mue_A4_fach_und_kursart4	F GK
abi_A4_mue_bloecke4	1
abi_mue_bemerkung4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
