kuerzel	PIE
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6a L5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	22
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	7b E5
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	24
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9a L6
häufigkeit2	1
dauer2	1
dauer_anders2	
schreiber2	19
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF E-GK
häufigkeit3	1
dauer3	2
dauer_anders3	
schreiber3	20
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	5a Ez: 1x im Halbjahr, 1 Schulstunde, 17 schreibende Schüler//6a Ez: 1x im Halbjahr, 1 Schulstunde, 22 schreibende Schüler, 1 Termin Nachschreibearbeit
