kuerzel	VDB
deputat_korrekt_janein	nein
deputat_berichtigung	Laut Tabelle habe ich noch 1,6 Stunden Überhang
korrekturkurs0	6d M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	Q1 M-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	2
facharbeiten1	1
andereeingabe1	
nicht1	
abi_zweit2	Q2 Sw-GK1 von PAT
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	4
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_zweit3	Q2 Sw-GK2 von HAV
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	6
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	6a
klassenleitung_nr	2
klassenleitung_aufteilung	90:90
kommentar	Korrektur der FA von Bendix Tschuschke für JUN
