kuerzel	BM
korrekturkurs0	7 E5
häufigkeit0	3
dauer0	1
schreiber0	23
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	6 E6
häufigkeit1	3
dauer1	1
schreiber1	21
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	EF N
häufigkeit2	2
dauer2	60
schreiber2	19
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	EF N
häufigkeit3	2
dauer3	60
schreiber3	23
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	Q1 N
häufigkeit4	2
dauer4	2
schreiber4	19
bemerkung4	Die 2. Klausur ist eine Sprechprüfung
andereeingabe4	
nicht4	
korrekturkurs5	Q2 N
häufigkeit5	2
dauer5	3
schreiber5	15
bemerkung5	
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
