kuerzel	HTM
korrekturkurs0	7 E5
häufigkeit0	3
dauer0	60
schreiber0	17
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	8d E
häufigkeit1	3
dauer1	60
schreiber1	27
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Bi
häufigkeit2	2
dauer2	3
schreiber2	20
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Bi
häufigkeit3	2
dauer3	3
schreiber3	6
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	8d
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	Praxissemesterstudent
