kuerzel	WP
korrekturkurs0	8 B/C
häufigkeit0	2
dauer0	2
schreiber0	19
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ch
häufigkeit1	2
dauer1	3
schreiber1	
bemerkung1	9
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Ch
häufigkeit2	0
dauer2	0
schreiber2	
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Bi
häufigkeit3	2
dauer3	2
schreiber3	
bemerkung3	11
andereeingabe3	
nicht3	
korrekturkurs4	Q2 PK
häufigkeit4	0
dauer4	0
schreiber4	
bemerkung4	
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	8c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
