kuerzel	KM
korrekturkurs0	7 L5
häufigkeit0	3
dauer0	1
schreiber0	21
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF L5
häufigkeit1	2
dauer1	2
schreiber1	18
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	6 L6
häufigkeit2	3
dauer2	1
schreiber2	14
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	7 L6
häufigkeit3	3
dauer3	1
schreiber3	18
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Da für mich nur für den ersten Kurs die Eingabespalte für die Anzahl der schreibenden SuS zugänglich war, habe ich hier alle 4 Schreiberzahlen in der Reihenfolge der Kurse hintereinandergeschrieben. Ging leider nicht anders! Tut mir leid! Theo
