kuerzel	VF
korrekturkurs0	5 E5
häufigkeit0	3
dauer0	1
schreiber0	18
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	9c E
häufigkeit1	2
dauer1	60
schreiber1	26
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	EF E
häufigkeit2	0
dauer2	0
schreiber2	
bemerkung2	
andereeingabe2	Vertiefungskurs. Null.
nicht2	
korrekturkurs3	8 If
häufigkeit3	2
dauer3	60
schreiber3	20
bemerkung3	
andereeingabe3	
nicht3	
abi_erst4	Q2 EK
häufigkeit4	normalLK
dauerX	Abi
schreiber4	26
bemerkung4	
andereeingabe4	
nicht4	
abi_zweit5	Q2 IF von JAE
häufigkeit5	normalGK
dauerX	Abi
schreiber5	7
bemerkung5	
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	2
klassenleitung_aufteilung	 
kommentar	Es fehlen die Portfoliokorrekturen der Klasse 9 WP II Global Challenges für Jan Iking: Im Kurs sind 20 SuS. 
