kuerzel	LC
korrekturkurs0	6b M
häufigkeit0	3
dauer0	1
schreiber0	25
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF M
häufigkeit1	2
dauer1	2
schreiber1	21
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	EF M
häufigkeit2	2
dauer2	2
schreiber2	23
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q1 M
häufigkeit3	2
dauer3	3
schreiber3	24
bemerkung3	
andereeingabe3	
nicht3	
abi_zweit4	Q2 M von extern
häufigkeit4	normalLK
schreiber4	22
bemerkung4	
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	6b
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
