kuerzel	VDB
korrekturkurs0	7a M
häufigkeit0	0
dauer0	60
schreiber0	21
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF M
häufigkeit1	2
dauer1	0
schreiber1	24
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 M
häufigkeit2	2
dauer2	0
schreiber2	15
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Sw
häufigkeit3	2
dauer3	0
schreiber3	8
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	7a
klassenleitung_nr	2
klassenleitung_aufteilung	60 - 60
kommentar	
