kuerzel	GUN
korrekturkurs0	9a L5
häufigkeit0	2
dauer0	2
dauer_anders0	
schreiber0	22
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ge-LK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	13
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q2 G-GK
häufigkeit2	2
dauer2	3
dauer_anders2	
schreiber2	6
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Ge-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	7
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Ich musste einen Abivorschlag bei der Bezirksregierung bzw. in Soest einreichen (1 Vorschlag, mit Erwartungshorizont)
