kuerzel	HTM
korrekturkurs0	5c E5
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8 B/C
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	16
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	9d E
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	29
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Bi-GK
häufigkeit3	2
dauer3	90
dauer_anders3	
schreiber3	12
bemerkung3	
nachschr3	1
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Bi-LK
häufigkeit4	2
dauer4	3
dauer_anders4	
schreiber4	15
bemerkung4	
nachschr4	2
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	09d
klassenleitung_nr	1
klassenleitung_aufteilung	60 - 60
kommentar	Ich habe die eine Q1 Klausur von Andrea Lechtenböhmer korrigiert, allerdings habe ich dafür auch zwei Stunden weniger Unterricht geben müssen.
