kuerzel	IK
korrekturkurs0	9 G/C
häufigkeit0	2
dauer0	60
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF E-GK
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	21
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Ek-LK
häufigkeit2	2
dauer2	4
dauer_anders2	
schreiber2	21
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Folgender Kurs fehlt: ////En 6 L5  2x  1 Schulstunde 15 SuS 
