kuerzel	VLZ
korrekturkurs0	9d D
häufigkeit0	2
dauer0	2
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	Q1 D-GK
häufigkeit1	2
dauer1	90
dauer_anders1	
schreiber1	23
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 D-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	19
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Ek-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	14
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 D-GK
häufigkeit4	2
dauer4	3
dauer_anders4	
schreiber4	14
bemerkung4	
nachschr4	1
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	9d
klassenleitung_nr	2
klassenleitung_aufteilung	Beide erhalten 60 Punkte
kommentar	
