kuerzel	JE
korrekturkurs0	6b D
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Pl-GK
häufigkeit1	2
dauer1	90
dauer_anders1	
schreiber1	1
bemerkung1	Bin mir gerade bei 90 Minuten ziemlich sicher, aber nicht ganz...
nachschr1	1
andereeingabe1	
nicht1	
klassenleitung_janein	ja
klassenleitung_klasse	6b
klassenleitung_nr	1
klassenleitung_aufteilung	Von mir aus gerne wieder für jeden 50%, falls das für Steffi etwas bringt.
kommentar	
