kuerzel	MKI
korrekturkurs0	8b F6
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9c F6
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 F-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	10
bemerkung2	Die 1. Klausur wurde durch eine Mündliche Kommunikationsprüfung ersetzt.
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Re-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	0
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Re-GK
häufigkeit4	_
dauer4	0
dauer_anders4	
schreiber4	0
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
