kuerzel	WP
korrekturkurs0	9 B/C
häufigkeit0	2
dauer0	2
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ch-GK
häufigkeit1	2
dauer1	90
dauer_anders1	
schreiber1	4
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Ch-LK
häufigkeit2	2
dauer2	4
dauer_anders2	
schreiber2	9
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Bi-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	6
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
