kuerzel	NC
korrekturkurs0	6 E5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	28
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9a E
häufigkeit1	0
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9c E
häufigkeit2	0
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	9 G/C
häufigkeit3	0
dauer3	0
dauer_anders3	
schreiber3	
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
abi_erst4	Q2 E-LK
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	14
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
