kuerzel	SBM
korrekturkurs0	7a D
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	20
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF D-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	21
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Pl-GK
häufigkeit2	_
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	7a
klassenleitung_aufteilung	50:50
kommentar	Übernahme Unterricht DLK Q1 für Rath ab Mai 2020 im Präsensunterricht(ohne Korrektur)
