kuerzel	SCJ
korrekturkurs0	6 E5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	26
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	7b E5
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	26
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Bi-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	10
bemerkung2	
nachschr2	1
facharbeiten2	3
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	6c
klassenleitung_nr	1
klassenleitung_aufteilung	hälftig
kommentar	
