kuerzel	TE
korrekturkurs0	6a L5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	15
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	8a L5
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	EF L6-GK
häufigkeit2	0
dauer2	2
dauer_anders2	
schreiber2	12
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
korrekturkurs3	EF I-GK
häufigkeit3	0
dauer3	60
dauer_anders3	
schreiber3	12
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
korrekturkurs4	EF G-GK
häufigkeit4	0
dauer4	2
dauer_anders4	
schreiber4	10
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_erst5	Q2 I-GK
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	1
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
abi_zweit6	Q2 G-GK von GUN
häufigkeit6	normalGK
dauer6	Abi
dauer_anders6	
schreiber6	3
bemerkung6	
nachschr6	nein
andereeingabe6	
nicht6	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
